RTZ Text Search Summary
=====================

Files with matches:
script/EV_G_16.rtz: 0 exact, 96 partial
script/EV_G_01.rtz: 0 exact, 96 partial
script/EV_G_15.rtz: 0 exact, 96 partial
script/FEV_V_AS_C_01.rtz: 0 exact, 96 partial
script/EV_G_32_B_NEND.rtz: 0 exact, 96 partial
script/FEV_G_H_04.rtz: 0 exact, 96 partial
script/EV_V_01.rtz: 0 exact, 96 partial
script/EV_V_TM_02.rtz: 0 exact, 96 partial
script/EV_G_26.rtz: 0 exact, 96 partial
script/FEV_BS_G_26.rtz: 0 exact, 96 partial
script/EV_V_TM_03.rtz: 0 exact, 96 partial
script/MI_G_03.rtz: 0 exact, 96 partial
script/EV_G_22.rtz: 0 exact, 96 partial
script/EV_V_TM_04.rtz: 0 exact, 96 partial
script/EV_G_20.rtz: 0 exact, 96 partial
script/EV_G_35_B.rtz: 0 exact, 96 partial
script/EV_G_35_B_03.rtz: 0 exact, 96 partial
script/EV_G_08.rtz: 0 exact, 96 partial
script/EV_V_AS_02.rtz: 0 exact, 96 partial
script/EV_V_KM_02.rtz: 0 exact, 96 partial
script/EV_V_AS_04.rtz: 0 exact, 96 partial
script/FEV_G_N_01.rtz: 0 exact, 96 partial
script/EV_V_TK_06.rtz: 0 exact, 96 partial
script/EV_V_KM_04.rtz: 0 exact, 96 partial
script/EV_V_AS_06.rtz: 0 exact, 96 partial
script/EV_V_TK_07.rtz: 0 exact, 96 partial
script/EV_G_19_01.rtz: 8 exact, 32 partial
script/MI_G_05.rtz: 0 exact, 8 partial
script/MI_G_04.rtz: 0 exact, 8 partial
script/MI_G_02.rtz: 0 exact, 8 partial
script/FEV_G_C_08.rtz: 0 exact, 8 partial
script/FEV_G_N_15.rtz: 0 exact, 8 partial

Total matches: 42752
Files with matches: 149
